f_preferred_name,Fe,C,O,Mg,Si,S,Ca,Ti,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,
2MASS 19214099+3751064 ,-0.11 ,-0.12 ,-0.095 ,-0.09 ,-0.1 ,,-0.085 ,-0.1 ,290.4208316 ,37.8517879 ,60.214 ,-161.731 ,134.114 ,218.56 ,N/A ,,,,,,,5511.0 ,4.50 ,0.97 ,0.91 ,
HIP 36512 ,-0.086 ,-0.083 ,-0.2015 ,-0.047 ,-0.091 ,-0.1415 ,-0.09 ,-0.06 ,112.6667216 ,-15.9945848 ,-13.411 ,32.113 ,-9.975 ,36.20 ,thin ,G2V ,7.71 ,0.637 ,10.90 ,-19.70 ,-1.60 ,5727.5 ,4.45 ,1.02 ,0.97 ,
HIP 36513 ,-2.495 ,-0.89 ,-1.61 ,-2.05 ,-2.19 ,,-2.036 ,-1.957 ,112.6719433 ,24.0861808 ,-90.140 ,215.784 ,104.540 ,256.16 ,N/A ,F ,10.80 ,0.350 ,,,,6302.2 ,3.95 ,1.20 ,1.42 ,
HIP 36515 ,-0.0095 ,-0.0245 ,-0.08 ,-0.0355 ,-0.07 ,-0.02 ,0.003 ,-0.035 ,112.6771322 ,-37.3393623 ,-6.669 ,15.961 ,-13.196 ,21.76 ,thin ,G3V ,6.63 ,0.641 ,-11.30 ,-4.60 ,-6.80 ,5815.3 ,4.55 ,1.05 ,0.92 ,
HIP 69290 ,-0.03 ,,,0.16 ,-0.07 ,,0.12 ,0.16 ,212.7471371 ,-19.1439499 ,-338.354 ,-217.613 ,-139.652 ,425.84 ,N/A ,K0III:Ba2 ,8.73 ,1.370 ,,,,4528.0 ,,,15.70 ,
HIP 69295 ,-0.33 ,,,-0.15 ,-0.28 ,,-0.38 ,-0.48 ,212.7556646 ,58.5489897 ,-67.193 ,-43.230 ,130.633 ,153.13 ,N/A ,G9III ,6.74 ,0.979 ,,,,4788.5 ,2.48 ,,10.17 ,
HIP 3760 ,-0.15 ,-0.15 ,-0.3 ,,-0.03 ,,-0.1 ,-0.11 ,12.0725402 ,7.2999305 ,177.792 ,38.026 ,23.291 ,183.30 ,thin ,G8III ,5.93 ,1.104 ,-80.70 ,-46.70 ,-0.40 ,4600.0 ,2.30 ,,21.08 ,
HIP 3765 ,-0.22 ,-0.075 ,-0.15 ,-0.09 ,-0.205 ,0.35 ,-0.16 ,-0.0895 ,12.0957346 ,5.2806140 ,7.238 ,1.551 ,0.684 ,7.43 ,thin ,K2.5V ,5.74 ,0.890 ,-1.30 ,-47.40 ,-13.30 ,4998.2 ,4.63 ,0.81 ,0.75 ,
HIP 102081 ,0.13 ,0.33 ,0.31 ,0.29 ,0.23 ,,0.08 ,-0.05 ,310.3260798 ,30.1912758 ,32.233 ,-37.973 ,28.979 ,57.63 ,thin ,G5V ,8.21 ,0.670 ,-45.70 ,-47.30 ,-47.60 ,5618.7 ,4.27 ,0.98 ,1.34 ,
HIP 69316 ,0.305 ,0.13 ,0.23 ,0.56 ,0.56 ,1.35 ,0.43 ,0.33 ,212.8130032 ,32.2958919 ,-87.327 ,-56.306 ,65.676 ,122.92 ,thin ,K4III ,6.14 ,1.258 ,-25.60 ,1.70 ,-17.20 ,4543.0 ,,,13.65 ,
HIP 3786 ,-0.17 ,-0.43 ,-0.54 ,,0.125 ,1.19 ,-0.18 ,-0.095 ,12.1706000 ,7.5850820 ,92.459 ,19.941 ,12.595 ,95.42 ,thin ,K5-III ,4.44 ,1.500 ,-31.10 ,-19.70 ,-39.70 ,3920.0 ,1.65 ,,,
2MASS 19364851+4039482 ,0.15 ,0.01 ,-0.05 ,0.13 ,0.14 ,,0.14 ,0.12 ,294.2021161 ,40.6634092 ,201.544 ,-448.412 ,422.317 ,648.11 ,N/A ,,,,,,,4819.0 ,4.49 ,0.78 ,0.83 ,
HIP 69340 ,0.27 ,0.4 ,1.02 ,0.4 ,0.2 ,0.53 ,0.485 ,0.2 ,212.8800138 ,1.3623975 ,-36.643 ,-23.687 ,1.038 ,43.65 ,thin ,F6V ,6.42 ,0.479 ,-33.10 ,-9.10 ,-7.20 ,6525.5 ,4.39 ,1.36 ,1.59 ,
HIP 3807 ,-0.005 ,-0.32 ,-0.16 ,0.12 ,0.07 ,0.17 ,0.105 ,0.055 ,12.2363649 ,-46.6976459 ,83.529 ,18.115 ,-90.692 ,124.62 ,thin ,G8III ,6.29 ,0.897 ,1.40 ,10.40 ,-15.30 ,5199.0 ,3.03 ,,8.52 ,
HIP 69350 ,-0.04 ,,,0.17 ,,,-0.06 ,-0.14 ,212.9045643 ,42.3407186 ,-109.005 ,-70.531 ,118.308 ,175.65 ,N/A ,K0 ,6.87 ,0.979 ,,,,4890.5 ,2.77 ,,9.94 ,
HIP 22481 ,-0.07 ,-0.17 ,,-0.097 ,-0.115 ,,-0.049 ,0.053 ,72.5535889 ,-26.1310104 ,13.659 ,43.463 ,-22.349 ,50.74 ,thin ,K0/1V ,9.42 ,0.854 ,-12.70 ,-11.20 ,-21.40 ,5203.3 ,4.45 ,0.88 ,0.78 ,
BD+37 00441 ,0.15 ,-0.17 ,-0.22 ,-0.05 ,-0.11 ,,0.1 ,,29.6242396 ,37.8604364 ,307.954 ,175.114 ,275.392 ,448.71 ,N/A ,,9.29 ,,,,,5046.3 ,2.86 ,,8.69 ,
HIP 69357 ,-0.13 ,-0.09 ,-0.13 ,-0.1185 ,-0.119 ,0.067 ,-0.04 ,-0.03 ,212.9423875 ,-12.6117664 ,-18.840 ,-12.208 ,-5.023 ,23.00 ,thin ,K1V(k) ,7.95 ,0.865 ,-10.70 ,-33.10 ,-1.50 ,5113.8 ,4.51 ,0.85 ,0.78 ,
HIP 102128 ,0.2 ,0.29 ,0.15 ,0.24 ,0.325 ,,0.23 ,0.29 ,310.4396583 ,-75.3464022 ,6.563 ,-7.700 ,-38.693 ,39.99 ,N/A ,G1V ,7.21 ,0.640 ,,,,5880.0 ,4.18 ,1.08 ,1.31 ,
HIP 3834 ,0.09 ,-0.105 ,-0.01 ,0.16 ,0.122 ,0.54 ,0.104 ,0.135 ,12.3081268 ,-24.1366647 ,48.845 ,10.657 ,-22.402 ,54.78 ,thin ,K0III ,5.90 ,0.944 ,-11.60 ,-24.10 ,-23.90 ,4989.0 ,3.46 ,,4.93 ,
HIP 36616 ,0.17 ,0.02 ,0.18 ,0.2 ,0.33 ,0.72 ,0.1 ,0.22 ,112.9516840 ,17.0860471 ,-33.276 ,78.577 ,26.229 ,89.27 ,thin ,K2III ,5.45 ,1.126 ,44.20 ,-24.50 ,-5.90 ,4694.2 ,2.71 ,,12.25 ,
HIP 3850 ,-0.18 ,-0.08 ,-0.155 ,-0.22 ,-0.2 ,,-0.19 ,-0.2 ,12.3615050 ,-23.2124627 ,16.871 ,3.697 ,-7.407 ,18.79 ,thin ,G9V ,7.16 ,0.769 ,-44.90 ,-15.00 ,-8.50 ,5377.0 ,4.57 ,0.91 ,0.80 ,
HIP 69390 ,0.175 ,,0.02 ,,0.07 ,,0.09 ,0.2 ,213.0713015 ,8.4069763 ,-72.517 ,-47.221 ,12.789 ,87.48 ,thin ,G5 ,8.45 ,0.651 ,74.80 ,-1.60 ,5.10 ,5891.7 ,4.11 ,1.05 ,1.61 ,
HIP 115331 ,0.01 ,0.1785 ,-0.04 ,0.08 ,-0.006 ,0.0925 ,0.064 ,0.09 ,350.4021415 ,44.0978828 ,15.158 ,-2.563 ,14.897 ,21.41 ,thin ,G9V ,7.36 ,0.801 ,-66.60 ,-16.80 ,-2.80 ,5342.6 ,4.51 ,0.93 ,0.81 ,
2MASS 18442696+4313400 ,-0.06 ,-0.09 ,0.07 ,-0.09 ,-0.04 ,,0.01 ,-0.02 ,281.1123427 ,43.2277889 ,68.327 ,-347.868 ,333.236 ,486.55 ,N/A ,,,,,,,6013.7 ,4.06 ,1.11 ,1.64 ,
BD+23 00514 ,0.12 ,0.07 ,0.16 ,-0.1 ,-0.01 ,,0.25 ,0.05 ,56.4243966 ,24.4315156 ,68.601 ,103.348 ,56.351 ,136.24 ,N/A ,,,,,,,5504.0 ,4.60 ,0.97 ,0.81 ,
HIP 36640 ,-0.665 ,-0.43 ,-0.305 ,-0.455 ,-0.5555 ,-0.465 ,-0.49 ,-0.4715 ,113.0240130 ,-8.8813259 ,-11.097 ,26.112 ,-4.434 ,28.72 ,thin ,F8V ,5.93 ,0.540 ,-29.90 ,-50.00 ,-16.50 ,5937.5 ,4.04 ,1.08 ,1.63 ,
HIP 3876 ,0.11 ,,-0.31 ,0.23 ,0.17 ,0.8 ,0.145 ,0.215 ,12.4436779 ,70.4494868 ,7.047 ,1.555 ,20.321 ,21.56 ,thin ,K2.5V+ ,7.76 ,0.900 ,-13.60 ,-49.50 ,16.10 ,5111.7 ,4.40 ,0.86 ,0.78 ,
HIP 69414 ,-0.09 ,-0.055 ,-0.08 ,-0.005 ,-0.06 ,,-0.04 ,0.01 ,213.1884939 ,-3.3200833 ,-18.233 ,-11.926 ,-1.264 ,21.82 ,thin ,G8V ,7.04 ,0.733 ,24.20 ,-43.60 ,18.70 ,5482.0 ,4.44 ,0.95 ,0.91 ,
HIP 3879 ,-0.15 ,-0.39 ,,-0.19 ,-0.238 ,,-0.025 ,0.132 ,12.4513090 ,-54.5932325 ,15.136 ,3.342 ,-21.806 ,26.75 ,N/A ,K4.5V(k) ,9.51 ,1.157 ,,,,4704.0 ,4.63 ,0.75 ,0.58 ,
HD 181877 ,-0.19 ,-0.31 ,-0.54 ,-0.18 ,-0.17 ,0.26 ,0.06 ,,290.0809555 ,41.6610649 ,54.390 ,-148.782 ,140.947 ,212.04 ,N/A ,,,,,,,7037.0 ,3.95 ,1.55 ,2.19 ,
HIP 69427 ,-0.39 ,-0.17 ,-0.33 ,-0.14 ,-0.14 ,0.7 ,-0.37 ,-0.06 ,213.2239419 ,-10.2737155 ,-58.105 ,-38.058 ,-12.590 ,70.59 ,thin ,K2/3III ,4.21 ,1.323 ,-20.60 ,39.70 ,27.60 ,4158.0 ,1.64 ,,24.77 ,
HIP 102200 ,-0.44 ,-0.375 ,-0.21 ,-0.25 ,-0.37 ,-0.386 ,-0.35 ,-0.33 ,310.6144682 ,-33.3286522 ,37.678 ,-43.938 ,-38.062 ,69.27 ,thin ,G3V ,9.19 ,0.650 ,-37.00 ,-18.00 ,47.40 ,5792.5 ,4.45 ,1.03 ,0.94 ,
HIP 102203 ,0.01 ,-0.01 ,-0.05 ,0.03 ,-0.02 ,-0.07 ,0.01 ,0.06 ,310.6225368 ,-5.3012417 ,19.333 ,-22.538 ,-2.755 ,29.82 ,thin ,G5V ,7.61 ,0.711 ,18.00 ,-19.30 ,-4.90 ,5575.8 ,4.42 ,0.98 ,0.91 ,
HIP 102211 ,-0.435 ,-0.45 ,-0.14 ,-0.24 ,-0.315 ,-0.449 ,-0.257 ,-0.215 ,310.6549006 ,-13.0948117 ,46.030 ,-53.600 ,-16.435 ,72.54 ,thin ,G0V ,8.07 ,0.598 ,27.40 ,-62.20 ,36.20 ,5783.3 ,4.20 ,1.04 ,1.61 ,
HIP 3909 ,-0.05 ,-0.055 ,-0.1295 ,-0.055 ,-0.095 ,-0.08 ,-0.02 ,-0.03 ,12.5316191 ,-10.6443291 ,15.228 ,3.385 ,-2.932 ,15.87 ,thin ,F7V ,5.19 ,0.514 ,21.90 ,-2.70 ,-12.70 ,6214.9 ,4.42 ,1.22 ,1.13 ,
HIP 3913 ,0.03 ,,,0.17 ,0.05 ,,0.03 ,0.08 ,12.5614485 ,-31.3327724 ,56.940 ,12.687 ,-35.515 ,68.30 ,thin ,K: ,10.50 ,0.959 ,-53.40 ,-70.10 ,-10.40 ,4957.0 ,4.52 ,0.82 ,0.79 ,
HIP 44343 ,-0.23 ,-0.0885 ,0.031 ,-0.1275 ,-0.1965 ,-0.165 ,-0.1865 ,-0.189 ,135.4541077 ,-26.5635301 ,-36.332 ,35.760 ,-25.487 ,56.99 ,thin ,F7V ,7.28 ,0.498 ,-112.50 ,4.00 ,2.30 ,6137.5 ,4.06 ,1.15 ,1.66 ,
2MASS 19220251+4114413 ,-0.08 ,-0.17 ,-0.19 ,-0.08 ,-0.1 ,,-0.04 ,-0.1 ,290.5104983 ,41.2448038 ,337.283 ,-901.600 ,844.043 ,1280.25 ,N/A ,,,,,,,5963.0 ,4.53 ,1.09 ,0.94 ,
2MASS 19205271+5128182 ,0.23 ,0.17 ,0.15 ,0.17 ,0.12 ,,0.26 ,0.15 ,290.2196822 ,51.4717350 ,37.363 ,-101.442 ,135.768 ,173.55 ,N/A ,,9.78 ,,,,,5207.5 ,3.67 ,,2.38 ,
2MASS 19533671+4517500 ,0.01 ,-0.01 ,-0.02 ,,0.01 ,,0.03 ,0.02 ,298.4029252 ,45.2972175 ,123.546 ,-228.465 ,262.439 ,369.24 ,N/A ,,,,,,,5983.5 ,4.41 ,1.10 ,1.08 ,
HIP 98959 ,-0.22 ,-0.105 ,-0.165 ,-0.09 ,-0.168 ,-0.25 ,-0.137 ,-0.1 ,301.3865216 ,-67.3208968 ,3.596 ,-5.894 ,-16.521 ,17.91 ,thin ,G2V ,6.07 ,0.648 ,-69.60 ,-31.70 ,-49.80 ,5721.7 ,4.38 ,1.02 ,1.03 ,
2MASS 23041801-2116189 ,0.14 ,0.14 ,0.11 ,0.14 ,0.15 ,,0.11 ,0.13 ,346.0750927 ,-21.2719302 ,673.945 ,-167.095 ,-270.324 ,745.12 ,N/A ,,,,,,,5667.0 ,4.43 ,1.01 ,1.01 ,
HIP 36704 ,,-0.005 ,-0.03 ,0.07 ,0.01 ,0.42 ,0.05 ,0.03 ,113.2524181 ,37.0298474 ,-6.513 ,15.158 ,12.445 ,20.67 ,thin ,K1V(k) ,7.70 ,0.863 ,12.60 ,2.60 ,-10.30 ,5093.0 ,4.46 ,0.86 ,0.78 ,
HIP 66192 ,0.21 ,0.31 ,0.295 ,0.24 ,0.215 ,0.27 ,0.225 ,0.219 ,203.5105810 ,53.7285273 ,-50.050 ,-21.774 ,74.381 ,92.26 ,thin ,K0 ,8.06 ,0.699 ,-3.80 ,-56.30 ,-5.60 ,5864.0 ,4.08 ,1.05 ,2.05 ,
2MASS 19201451+4709502 ,0.01 ,-0.05 ,-0.07 ,-0.04 ,-0.06 ,,0.04 ,0.02 ,290.0604891 ,47.1639429 ,158.114 ,-432.991 ,497.160 ,677.98 ,N/A ,,,,,,,5694.4 ,3.94 ,1.01 ,1.79 ,
HIP 36715 ,-0.025 ,,,0.11 ,0.02 ,0.08 ,0.16 ,0.07 ,113.2716845 ,78.6868942 ,-7.574 ,17.611 ,95.823 ,97.72 ,thin ,G0 ,7.44 ,0.574 ,-48.20 ,-11.40 ,1.20 ,5943.5 ,3.58 ,1.09 ,2.79 ,
2MASS 18483505+4323217 ,-0.03 ,-0.02 ,0.09 ,0.04 ,-0.02 ,0.25 ,0.14 ,,282.1460285 ,43.3893484 ,36.396 ,-169.108 ,163.518 ,238.03 ,N/A ,,9.91 ,,,,,6900.0 ,4.00 ,,2.06 ,
HIP 69493 ,0.09 ,,,0.15 ,0.22 ,0.36 ,0.3 ,0.45 ,213.4199585 ,-0.8454645 ,-46.262 ,-30.527 ,-0.818 ,55.43 ,thin ,F6V ,5.90 ,0.489 ,69.00 ,5.00 ,-21.60 ,6398.0 ,4.04 ,1.31 ,2.64 ,
HIP 102264 ,-0.185 ,,-0.18 ,-0.135 ,-0.215 ,,-0.18 ,-0.18 ,310.8166548 ,-29.4239188 ,12.439 ,-14.402 ,-10.733 ,21.85 ,thin ,G6V ,6.96 ,0.671 ,-11.90 ,-26.30 ,12.20 ,5599.8 ,4.47 ,0.99 ,0.89 ,
HIP 36729 ,-0.395 ,-0.51 ,-0.36 ,-0.165 ,-0.235 ,-0.19 ,-0.27 ,-0.28 ,113.3055201 ,-43.0861989 ,-42.840 ,99.446 ,-101.279 ,148.26 ,thin ,G8III ,6.54 ,0.918 ,27.60 ,42.40 ,3.40 ,5036.0 ,2.78 ,,10.57 ,
HIP 36732 ,0.15 ,,0.11 ,0.28 ,0.25 ,0.9 ,0.05 ,0.13 ,113.3315201 ,-19.4125264 ,-33.653 ,78.022 ,-29.944 ,90.09 ,thin ,K0III ,5.64 ,1.121 ,13.10 ,-31.80 ,-5.00 ,4699.0 ,2.54 ,,11.45 ,
B-15 03672 ,0.09 ,0.167 ,0.022 ,0.049 ,0.114 ,0.177 ,0.109 ,0.069 ,202.0166314 ,-15.9378195 ,-100.843 ,-40.777 ,-31.063 ,113.12 ,N/A ,,,,,,,5673.0 ,4.46 ,1.01 ,0.98 ,
2MASS 18542102+4034297 ,-0.2 ,-0.05 ,-0.01 ,-0.13 ,-0.24 ,,-0.18 ,-0.14 ,283.5876107 ,40.5749389 ,83.259 ,-344.479 ,303.487 ,466.59 ,N/A ,,,,,,,5068.0 ,4.58 ,0.85 ,0.78 ,
HIP 36739 ,,,,-0.06 ,0.01 ,,0.02 ,-0.05 ,113.3526225 ,15.6391308 ,-76.248 ,176.599 ,53.848 ,199.75 ,thin ,G8III ,6.64 ,1.071 ,-47.50 ,-20.50 ,-2.00 ,4850.1 ,,,14.26 ,
HIP 3975 ,0.24 ,,0.03 ,0.07 ,-0.03 ,,0.17 ,0.11 ,12.7761563 ,-12.9276029 ,194.170 ,44.029 ,-45.701 ,204.28 ,thin ,K0III/IV ,8.03 ,1.046 ,-4.70 ,-17.60 ,8.70 ,4802.0 ,,,7.91 ,
HIP 3979 ,-0.18 ,-0.18 ,-0.18 ,-0.1225 ,-0.17 ,-0.205 ,-0.122 ,-0.137 ,12.7952002 ,-5.0392785 ,21.825 ,4.957 ,-1.973 ,22.47 ,thin ,G6V ,6.97 ,0.663 ,-15.50 ,-25.10 ,-1.20 ,5671.7 ,4.53 ,1.01 ,0.88 ,
HIP 69518 ,0.09 ,0.001 ,0.191 ,-0.007 ,0.0325 ,,0.15 ,0.033 ,213.4638613 ,46.3251671 ,-22.621 ,-14.952 ,28.400 ,39.27 ,thin ,F8V ,7.19 ,0.530 ,-18.90 ,-21.20 ,-5.80 ,6175.5 ,4.34 ,1.18 ,1.15 ,
HIP 102290 ,0.045 ,0.07 ,0.07 ,-0.057 ,0.048 ,-0.088 ,0.115 ,0.14 ,310.8922125 ,-24.6917235 ,35.257 ,-40.713 ,-24.762 ,59.28 ,N/A ,G3V ,8.65 ,0.598 ,,,,6022.0 ,4.69 ,1.11 ,0.94 ,
HIP 69526 ,0.06 ,-0.051 ,0.03 ,-0.019 ,0.1445 ,,0.1095 ,0.045 ,213.4878266 ,30.2171873 ,-12.395 ,-8.200 ,8.656 ,17.20 ,thin ,K3.5V ,8.06 ,1.064 ,-36.30 ,-14.40 ,-5.50 ,4725.2 ,4.58 ,0.76 ,0.71 ,
HD 160723 ,-0.24 ,-0.3 ,-0.125 ,-0.225 ,-0.25 ,,-0.21 ,-0.225 ,263.8768445 ,69.2970645 ,-7.279 ,-67.849 ,180.559 ,193.02 ,N/A ,,7.25 ,,,,,4836.0 ,3.07 ,,10.47 ,
HIP 3998 ,0.16 ,,-0.11 ,-0.03 ,0.22 ,,,0.15 ,12.8406422 ,18.7392476 ,20.525 ,4.679 ,7.142 ,22.23 ,thin ,K6-V ,9.20 ,1.194 ,3.40 ,-15.10 ,-23.60 ,4342.0 ,4.40 ,0.68 ,0.70 ,
HIP 69535 ,-0.23 ,-0.03 ,0.08 ,-0.31 ,-0.13 ,0.01 ,-0.22 ,-0.32 ,213.5223875 ,54.6374772 ,-32.958 ,-21.833 ,55.706 ,68.31 ,thin ,F5 ,7.62 ,0.502 ,3.20 ,-1.90 ,-10.20 ,6138.6 ,4.18 ,,1.41 ,
HIP 69536 ,0.125 ,0.205 ,0.06 ,0.12 ,0.11 ,0.11 ,0.115 ,0.145 ,213.5215822 ,12.9594444 ,-27.285 ,-18.074 ,7.532 ,33.58 ,thin ,F8V ,5.50 ,0.537 ,-39.40 ,-33.20 ,-25.60 ,6194.0 ,4.05 ,1.15 ,2.14 ,
2MASS 19395491+4600203 ,0.29 ,0.23 ,0.11 ,0.24 ,0.24 ,,0.31 ,0.23 ,294.9788364 ,46.0056524 ,106.362 ,-228.314 ,260.874 ,362.62 ,N/A ,,,,,,,5267.0 ,4.33 ,0.90 ,1.07 ,
2MASS 06484831+1709428 ,0.12 ,-0.21 ,0.2 ,0.02 ,0.12 ,,0.06 ,0.14 ,102.2012951 ,17.1618941 ,-68.233 ,315.554 ,99.702 ,337.89 ,N/A ,,,,,,,5906.2 ,4.52 ,1.07 ,0.95 ,
HIP 4005 ,0.0485 ,0.017 ,0.166 ,0.029 ,0.0215 ,,0.112 ,0.0745 ,12.8537425 ,32.6570747 ,45.392 ,10.358 ,29.841 ,55.30 ,thin ,F8 ,7.29 ,0.559 ,24.10 ,9.80 ,-22.70 ,6090.3 ,4.15 ,1.14 ,1.59 ,
BD+68 00900 ,-0.285 ,-0.25 ,-0.22 ,-0.2 ,-0.21 ,,-0.21 ,-0.3 ,253.9298076 ,67.8864237 ,-33.146 ,-115.063 ,294.688 ,318.09 ,N/A ,,,,,,,4463.0 ,,,16.06 ,
HIP 114702 ,-0.3 ,,-0.325 ,-0.18 ,-0.34 ,,-0.26 ,-0.31 ,348.5311469 ,-8.9243281 ,39.379 ,-7.989 ,-6.310 ,40.67 ,thin ,F7V ,7.56 ,0.544 ,-91.50 ,-54.30 ,-13.70 ,5939.7 ,4.29 ,1.12 ,1.05 ,
HIP 36795 ,-0.09 ,-0.035 ,0.135 ,-0.09 ,-0.09 ,0.01 ,-0.03 ,-0.11 ,113.5132510 ,-22.2960662 ,-9.587 ,22.035 ,-9.853 ,25.97 ,thin ,F6IV-V ,4.39 ,0.521 ,-38.60 ,-47.20 ,-2.70 ,6218.6 ,3.91 ,1.20 ,2.63 ,
HIP 69564 ,0.205 ,0.18 ,0.19 ,0.235 ,0.215 ,0.115 ,0.23 ,0.25 ,213.5887856 ,-5.9477207 ,-33.922 ,-22.528 ,-4.242 ,40.94 ,thin ,G0IV ,6.36 ,0.593 ,-69.50 ,-19.70 ,2.80 ,6168.2 ,4.19 ,1.17 ,1.76 ,
HIP 69569 ,0.33 ,,,0.77 ,0.56 ,1.12 ,0.53 ,0.41 ,213.5981163 ,41.5187591 ,-28.035 ,-18.625 ,29.798 ,44.95 ,thin ,K3III ,6.23 ,1.071 ,11.90 ,-23.90 ,-6.70 ,4900.3 ,,,3.69 ,
HIP 69570 ,-0.245 ,-0.22 ,-0.22 ,-0.177 ,-0.22 ,-0.248 ,-0.173 ,-0.15 ,213.6034435 ,-48.1466370 ,-21.007 ,-13.959 ,-28.156 ,37.80 ,thin ,G5V ,8.23 ,0.670 ,-30.90 ,-2.70 ,-18.50 ,5617.8 ,4.49 ,0.99 ,0.86 ,
HIP 4039 ,-1.06 ,,-0.77 ,-0.94 ,-1.0 ,,-0.93 ,-1.03 ,12.9533914 ,74.4739777 ,37.765 ,8.686 ,139.488 ,144.77 ,thick ,F5 ,9.77 ,0.490 ,-134.10 ,-100.20 ,41.50 ,5941.0 ,3.90 ,1.16 ,1.35 ,
HIP 4041 ,-0.01 ,-0.07 ,-0.08 ,-0.06 ,-0.05 ,,0.06 ,-0.04 ,12.9582252 ,78.6257206 ,8.189 ,1.884 ,41.769 ,42.61 ,thin ,G7V ,8.45 ,0.780 ,-32.10 ,-7.50 ,2.90 ,5396.0 ,4.44 ,0.94 ,0.96 ,
HIP 36818 ,-0.87 ,-0.98 ,-0.54 ,-0.77 ,-0.8 ,,-0.73 ,-0.7 ,113.5774863 ,-45.2785765 ,-27.751 ,63.588 ,-70.058 ,98.60 ,thick ,G8V-VI ,10.43 ,0.608 ,-264.30 ,-246.50 ,-93.90 ,5659.2 ,4.61 ,0.99 ,0.76 ,
2MASS 18441281+4332024 ,0.37 ,0.665 ,0.225 ,0.425 ,0.32 ,,0.38 ,0.325 ,281.0533744 ,43.5339905 ,25.442 ,-130.241 ,126.080 ,183.05 ,N/A ,,9.67 ,,,,,5081.3 ,3.60 ,,2.74 ,
HIP 36827 ,-0.135 ,-0.15 ,-0.15 ,-0.22 ,-0.14 ,,-0.115 ,-0.13 ,113.6090321 ,-6.8966763 ,-9.343 ,21.376 ,-2.822 ,23.50 ,thin ,K2.5V ,8.14 ,0.900 ,5.90 ,5.90 ,-11.60 ,5114.3 ,4.55 ,0.84 ,0.73 ,
HIP 102375 ,0.31 ,0.32 ,-0.18 ,0.18 ,0.29 ,0.3 ,0.23 ,0.24 ,311.1495120 ,-63.1361774 ,23.788 ,-27.221 ,-71.369 ,80.00 ,thin ,G5/8V+F: ,8.87 ,0.579 ,-37.00 ,-44.60 ,-3.80 ,6051.0 ,4.41 ,1.13 ,1.10 ,
HIP 102379 ,-0.4 ,-0.32 ,-0.24 ,-0.253 ,-0.313 ,-0.444 ,-0.244 ,-0.226 ,311.1544274 ,-10.4947713 ,45.949 ,-52.572 ,-12.934 ,71.01 ,thin ,F7V ,8.20 ,0.545 ,-19.90 ,-40.90 ,-35.70 ,6025.0 ,4.25 ,1.13 ,1.34 ,
HIP 69612 ,-0.08 ,-0.01 ,0.05 ,0.11 ,0.1 ,0.26 ,-0.02 ,0.05 ,213.7118656 ,10.1006074 ,-69.004 ,-46.041 ,14.777 ,84.26 ,thin ,K1III ,5.29 ,1.007 ,36.50 ,-54.70 ,-0.90 ,4818.0 ,2.75 ,,11.05 ,
HIP 36848 ,-0.09 ,,,-0.06 ,0.04 ,,-0.06 ,-0.06 ,113.6449784 ,-27.0122743 ,-36.139 ,82.542 ,-45.936 ,101.14 ,thin ,K1III ,5.78 ,1.045 ,-32.10 ,24.50 ,-2.70 ,4767.0 ,2.62 ,,11.00 ,
HIP 36849 ,-0.76 ,-0.28 ,-0.4 ,-0.52 ,-0.62 ,,-0.63 ,-0.585 ,113.6462835 ,16.9011200 ,-34.829 ,79.546 ,26.385 ,90.76 ,thick ,F8 ,8.95 ,0.500 ,57.70 ,-88.40 ,-51.50 ,5929.3 ,4.22 ,1.09 ,1.29 ,
HIP 102388 ,-0.035 ,-0.17 ,0.035 ,0.19 ,0.13 ,0.7 ,-0.055 ,-0.045 ,311.2187676 ,25.2706261 ,63.732 ,-72.753 ,45.659 ,106.95 ,thin ,K1III ,4.91 ,1.183 ,80.60 ,-7.60 ,-44.80 ,4490.0 ,2.47 ,,19.88 ,
HIP 36855 ,0.17 ,,,0.3 ,0.11 ,,0.1 ,0.21 ,113.6631681 ,51.5457467 ,-14.802 ,33.780 ,46.442 ,59.30 ,thin ,G5 ,8.34 ,0.772 ,-10.00 ,-14.90 ,-23.90 ,5499.3 ,4.35 ,0.95 ,1.39 ,
HIP 36866 ,0.27 ,0.302 ,0.285 ,0.305 ,0.225 ,0.365 ,0.245 ,0.23 ,113.6849468 ,-66.6435053 ,-6.900 ,15.730 ,-39.777 ,43.33 ,N/A ,K1IV ,8.79 ,0.853 ,,,,5255.0 ,4.49 ,0.90 ,0.90 ,
HIP 102409 ,0.32 ,0.11 ,,-0.19 ,-0.26 ,,-0.14 ,0.18 ,311.2897182 ,-31.3409004 ,5.479 ,-6.239 ,-5.057 ,9.72 ,thin ,M1Ve ,8.63 ,1.470 ,-10.10 ,-16.40 ,-10.40 ,3642.0 ,4.57 ,0.66 ,0.70 ,
HIP 36874 ,-0.024 ,,0.03 ,0.04 ,-0.05 ,,,-0.017 ,113.7100416 ,24.9544719 ,-14.250 ,32.446 ,16.491 ,39.09 ,thick ,G2.V ,7.40 ,0.642 ,140.00 ,-35.60 ,-48.20 ,5779.7 ,4.31 ,1.04 ,1.21 ,
